Title,Genre,Year,Rating (1-10),Director,Cast,Duration (min),Description,,,,,,,,,,,,
Z-O-M-B-I-E-S 4: Dawn of the Vampires,"['Comedy','Music','Fantasy']",2024,6,Paul Hoen,Milo Manheim; Meg Donnelly; Trevor Tordjman,90,"In this Disney Channel Original Movie, the town of Seabrook navigates a fragile peace between humans and supernatural clans until a sinister plot threatens to reignite an age-old war. Zed and Addison must unite zombies and werewolves to save their community while discovering the true meaning of acceptance.",,,,,,,,,,,,
Camp Alec,"['Comedy','Family']",2025,5,Liv Austen,Christopher Bancroft; Nicky Favale; Tipsi Elliott,105,"A heartwarming comedy about misfit campers at an unconventional summer program where they discover friendship, self-confidence, and unexpected talents. When quirky activities spiral into chaos, the campers learn to embrace their differences and support each other no matter what.",,,,,,,,,,,,
Snow White (Live Action),"['Adventure','Family','Fantasy']",2025,6,Marc Webb,Rachel Zegler; Gal Gadot; Andrew Burnap,135,"Princess Snow White flees the Evil Queen and takes refuge with seven outcasts in a magical forest. As she battles dark magic and deceit, she learns that true beauty comes from courage, kindness, and believing in oneself.",,,,,,,,,,,,
Iron Man,"['Action','Adventure','Sci-Fi']",2008,7,Jon Favreau,Robert Downey Jr.; Gwyneth Paltrow; Terrence Howard,126,"After escaping captivity, billionaire inventor Tony Stark builds a high-tech armored suit to save his life and expose his company’s weapons to the world. Embracing his new identity, he transforms into Iron Man, a symbol of heroism and accountability.",,,,,,,,,,,,
Captain America: Brave New World,"['Action','Adventure','Sci-Fi']",2024,6,Julius Onah,Anthony Mackie; Harrison Ford; Liv Tyler,124,"Sam Wilson, now Captain America, uncovers a conspiracy that threatens national security and the legacy of the super-soldier program. With Bucky Barnes at his side, he must navigate political intrigue and personal responsibility to defend freedom.",,,,,,,,,,,,
The Sandlot,"['Comedy','Family','Sport']",1993,7,David Mickey Evans,Tom Guiry; Mike Vitar; Karen Allen,101,"In the summer of 1962, a new kid in town bonds with neighborhood baseball players on the local sandlot. Through epic games and a showdown with the legendary Beast, the friends learn about loyalty, courage, and the magic of childhood.",,,,,,,,,,,,
The Parent Trap,"['Comedy','Family']",1998,6,Nancy Meyers,Lindsay Lohan; Dennis Quaid; Natasha Richardson,128,Separated at birth twin sisters meet at summer camp and devise a playful scheme to reunite their divorced parents. Their spirited antics and heartfelt deception teach everyone about the true power of family and love.,,,,,,,,,,,,
Lilo & Stitch,"['Animation','Adventure','Comedy']",2002,7,Chris Sanders; Dean DeBlois,Daveigh Chase; Tia Carrere; David Ogden Stiers,85,"A lonely Hawaiian girl adopts what she thinks is a dog, but Stitch is actually a mischievous alien on the run. Together, they discover the meaning of 'ohana'—family—and prove that acceptance can change lives.",,,,,,,,,,,,
Pirates of the Caribbean: The Curse of the Black Pearl,"['Action','Adventure','Fantasy']",2003,8,Gore Verbinski,Johnny Depp; Orlando Bloom; Keira Knightley,143,"Eccentric pirate Captain Jack Sparrow joins forces with blacksmith Will Turner to rescue Elizabeth Swann from cursed buccaneers. Battling supernatural forces on the high seas, they race to break an ancient curse and reclaim their freedom.",,,,,,,,,,,,
Finding Nemo,"['Animation','Adventure','Comedy']",2003,8,Andrew Stanton; Lee Unkrich,Albert Brooks; Ellen DeGeneres; Alexander Gould,100,"When clownfish Marlin's son Nemo is captured by a scuba diver, he embarks on a daring oceanic adventure to rescue him with the help of the forgetful but endearing Dory. Along the way, Marlin learns to trust, let go, and embrace life’s uncertainties.",,,,,,,,,,,,
