Title,Genre,Year,Rating (1-10),Director,Cast,Duration (min)
Heads of State,"['Action','Comedy']",2024,6,Ilya Naishuller,John Cena; Idris Elba; Jack Quaid,100
Wicked,"['Musical','Fantasy']",2024,7,Jon M. Chu,Cynthia Erivo; Ariana Grande; Jeff Goldblum,165
Gladiator,"['Action','Drama','Adventure']",2000,8,Ridley Scott,Russell Crowe; Joaquin Phoenix; Connie Nielsen,155
Hidden Figures,"['Biography','Drama','History']",2016,7,Theodore Melfi,Taraji P. Henson; Octavia Spencer; Janelle Monáe,127
Saving Private Ryan,"['Drama','War']",1998,8,Steven Spielberg,Tom Hanks; Matt Damon; Tom Sizemore,169
Uncharted,"['Action','Adventure']",2022,6,Ruben Fleischer,Tom Holland; Mark Wahlberg; Antonio Banderas,116
Game Night,"['Action','Comedy','Crime']",2018,7,John Francis Daley; Jonathan Goldstein,Jason Bateman; Rachel McAdams; Kyle Chandler,100
A Knight's Tale,"['Action','Adventure','Comedy']",2001,7,Brian Helgeland,Heath Ledger; Rufus Sewell; Shannyn Sossamon,132
RoboCop,"['Action','Crime','Sci-Fi']",1987,7,Paul Verhoeven,Peter Weller; Nancy Allen; Dan O'Herlihy,102
The Hunt,"['Action','Horror','Thriller']",2020,5,Craig Zobel,Betty Gilpin; Hilary Swank; Ike Barinholtz,90
Twisters,"['Action','Adventure','Sci-Fi']",2024,5,Lee Isaac Chung,Daisy Edgar-Jones; Glen Powell; Anthony Ramos,113
Sonic the Hedgehog 3,"['Action','Adventure','Family']",2024,6,Jeff Fowler,Ben Schwartz; James Marsden; Idris Elba,100
Shooter,"['Action','Crime','Drama']",2007,7,Antoine Fuqua,Mark Wahlberg; Michael Peña; Danny Glover,124
The Accountant,"['Action','Crime','Drama']",2016,7,Gavin O'Connor,Ben Affleck; Anna Kendrick; J.K. Simmons,128
Fast & Furious 9,"['Action','Adventure','Crime']",2021,5,Justin Lin,Vin Diesel; Michelle Rodriguez; John Cena,143
Jurassic World Dominion,"['Action','Adventure','Sci-Fi']",2022,5,Colin Trevorrow,Chris Pratt; Bryce Dallas Howard; Laura Dern,146
Thunderbolts,"['Action','Adventure','Fantasy']",2024,6,Jake Schreier,Florence Pugh; David Harbour; Sebastian Stan,109
Bridget Jones's Baby,"['Comedy','Drama','Romance']",2016,6,Sharon Maguire,Renée Zellweger; Colin Firth; Patrick Dempsey,123
Final Destination 5,"['Horror','Mystery','Thriller']",2011,6,Steven Quale,Nicholas D'Agosto; Emma Bell; Miles Fisher,92
The Super Mario Bros. Movie,"['Animation','Adventure','Comedy']",2023,6,Aaron Horvath; Michael Jelenic,Chris Pratt; Anya Taylor-Joy; Charlie Day,92
