title,genre,year,rating,director,cast,description,duration,
The Boys,"Action, Comedy, Drama, Superhero",2019,TV-MA,Eric Kripke,"Karl Urban, Jack Quaid","A group of vigilantes fight corrupt superheroes who abuse their powers",60
Suspiria,"Horror, Mystery, Supernatural",2018,R,Luca Guadagnino,"Dakota Johnson, Tilda Swinton","A young American dancer joins a prestigious dance academy in 1970s Berlin",152
The Marvelous Mrs. Maisel,"Comedy, Drama, Period",2017,TV-MA,Amy Sherman-Palladino,"Rachel Brosnahan, Tony Shalhoub","A 1950s housewife discovers she has a talent for stand-up comedy",60
Annihilation,"Horror, Sci-Fi, Thriller",2018,R,Alex Garland,"Natalie Portman, Jennifer Jason Leigh","A biologist searches for her husband who disappeared in a mysterious phenomenon",115
The Ring,"Horror, Mystery, Supernatural",2002,PG-13,Gore Verbinski,"Naomi Watts, Martin Henderson","A journalist investigates a mysterious videotape that kills anyone who watches it",115
Manchester by the Sea,"Drama, Family",2016,R,Kenneth Lonergan,"Casey Affleck, Michelle Williams","A man returns to his hometown to care for his nephew after his brother's death",137
The Terminal List,"Action, Thriller, Military",2022,TV-MA,Antoine Fuqua,"Chris Pratt, Constance Wu","A Navy SEAL seeks revenge after his platoon is ambushed during a mission",60
Fleabag,"Comedy, Drama, Dark Comedy",2016,TV-MA,Phoebe Waller-Bridge,"Phoebe Waller-Bridge, Sian Clifford","A dry-witted woman navigates life in London while dealing with personal trauma",30
Jack Ryan,"Action, Thriller, Political",2018,TV-14,Carlton Cuse,"John Krasinski, Wendell Pierce","A CIA analyst is drawn into a dangerous field assignment",60
The Power,"Sci-Fi, Drama, Fantasy",2023,TV-MA,Raelle Tucker,"Toni Collette, Auliʻi Cravalho","Women across the world develop the ability to generate electrical shocks",60
